date,symbol,marketcapname,sector
06-01-2025 12:10 pm,BANKBARODA,Largecap,Bank
06-01-2025 12:10 pm,GODREJCP,Largecap,FMCG
06-01-2025 12:10 pm,PAYTM,Largecap,I.T
06-01-2025 12:11 pm,HEROMOTOCO,Largecap,Auto
06-01-2025 12:11 pm,AMBUJACEM,Largecap,Industrials
06-01-2025 12:11 pm,BHARATFORG,Largecap,Industrials
06-01-2025 12:11 pm,TATAMOTORS,Largecap,Auto
06-01-2025 12:11 pm,VOLTAS,Largecap,FMCG
06-01-2025 12:11 pm,ASIANPAINT,Largecap,Industrials
06-01-2025 12:11 pm,APOLLOHOSP,Largecap,Pharmaceuticals
06-01-2025 12:11 pm,DELHIVERY,Largecap,Services
06-01-2025 12:11 pm,ABCAPITAL,Largecap,Finance
06-01-2025 12:11 pm,HDFCLIFE,Largecap,Services
06-01-2025 12:11 pm,BANDHANBNK,Largecap,Bank
06-01-2025 12:11 pm,TVSMOTOR,Largecap,Auto
06-01-2025 12:11 pm,MARUTI,Largecap,Auto
06-01-2025 12:11 pm,IGL,Largecap,Industrials
06-01-2025 12:11 pm,NAUKRI,Largecap,I.T
06-01-2025 12:11 pm,BAJAJFINSV,Largecap,Finance
06-01-2025 12:11 pm,NHPC,Largecap,Miscellaneous
06-01-2025 12:11 pm,MUTHOOTFIN,Largecap,Finance
06-01-2025 12:11 pm,LODHA,Largecap,Realty
06-01-2025 12:11 pm,PAYTM,Largecap,I.T
06-01-2025 12:11 pm,ICICIPRULI,Largecap,Services
06-01-2025 12:12 pm,LAURUSLABS,Largecap,Pharmaceuticals
06-01-2025 12:12 pm,BHEL,Largecap,FMCG
06-01-2025 12:12 pm,HINDPETRO,Largecap,Industrials
06-01-2025 12:12 pm,SBIN,Largecap,Bank
06-01-2025 12:12 pm,TRENT,Largecap,FMCG
06-01-2025 12:12 pm,PEL,Largecap,Finance
06-01-2025 12:12 pm,TATAELXSI,Largecap,I.T
06-01-2025 12:12 pm,CUMMINSIND,Largecap,FMCG
06-01-2025 12:12 pm,TATACOMM,Largecap,Telecom
06-01-2025 12:12 pm,BHARATFORG,Largecap,Industrials
06-01-2025 12:12 pm,M&M,Largecap,Auto
06-01-2025 12:12 pm,TATAMOTORS,Largecap,Auto
06-01-2025 12:12 pm,APOLLOTYRE,Largecap,Auto
06-01-2025 12:12 pm,SHRIRAMFIN,Largecap,Finance
06-01-2025 12:12 pm,DELHIVERY,Largecap,Services
06-01-2025 12:12 pm,MOTHERSON,Largecap,Auto
06-01-2025 12:12 pm,HAVELLS,Largecap,FMCG
06-01-2025 12:12 pm,DIXON,Largecap,FMCG
06-01-2025 12:12 pm,IEX,Midcap,Financial Services
06-01-2025 12:12 pm,HDFCLIFE,Largecap,Services
06-01-2025 12:12 pm,INDIAMART,Midcap,I.T
06-01-2025 12:12 pm,NATIONALUM,Largecap,Metals
06-01-2025 12:12 pm,CANBK,Largecap,Bank
06-01-2025 12:12 pm,MARUTI,Largecap,Auto
06-01-2025 12:12 pm,BIOCON,Largecap,Pharmaceuticals
06-01-2025 12:12 pm,NTPC,Largecap,Miscellaneous
06-01-2025 12:12 pm,GMRAIRPORT,Largecap,Miscellaneous
06-01-2025 12:12 pm,DLF,Largecap,Realty
06-01-2025 12:12 pm,BAJAJ-AUTO,Largecap,Auto
06-01-2025 12:12 pm,NHPC,Largecap,Miscellaneous
06-01-2025 12:12 pm,IRFC,Largecap,Finance
06-01-2025 12:12 pm,KALYANKJIL,Largecap,Miscellaneous
06-01-2025 12:12 pm,GUJGASLTD,Largecap,Industrials
06-01-2025 12:13 pm,ACC,Largecap,Industrials
06-01-2025 12:13 pm,PAGEIND,Largecap,FMCG
06-01-2025 12:14 pm,PEL,Largecap,Finance
06-01-2025 12:14 pm,BRITANNIA,Largecap,FMCG
06-01-2025 12:14 pm,SUNPHARMA,Largecap,Pharmaceuticals
06-01-2025 12:14 pm,DIVISLAB,Largecap,Pharmaceuticals
06-01-2025 12:15 pm,AMBUJACEM,Largecap,Industrials
06-01-2025 12:15 pm,M&M,Largecap,Auto
